name,link,desc,chef,prepTime,cooktime,total,ingredients,instructions,rating,num_of_reviews,calories,servings,fat,carb,protein,cholesterol,sodium
Big Soft Ginger Cookies,http://allrecipes.com/recipe/17165/big-soft-ginger-cookies/,"""These are just what they say: big, soft, gingerbread cookies. They stay soft, too. My oldest son's favorite.""",AMY1028,15 m,10 m,50 m,,"Preheat oven to 350 degrees F (175 degrees C). Sift together the flour, ginger, baking soda, cinnamon, cloves, and salt. Set aside.
In a large bowl, cream together the margarine and 1 cup sugar until light and fluffy. Beat in the egg, then stir in the water and molasses. Gradually stir the sifted ingredients into the molasses mixture. Shape dough into walnut sized balls, and roll them in the remaining 2 tablespoons of sugar. Place the cookies 2 inches apart onto an ungreased cookie sheet, and flatten slightly.
Bake for 8 to 10 minutes in the preheated oven. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely. Store in an airtight container.",4.74053049087524,4521,143 ,24 servings (2 dozen),6,21.1,1.6,8,147
Chocolate Pecan Sandies,http://allrecipes.com/recipe/11324/chocolate-pecan-sandies/,"""These are cute little round cookies that are white on the outside and chocolate on the inside.""",MARBALET,15 m,20 m,1 h 5 m,"6416, 6417, 6418","Preheat oven to 350 degrees F (175 degrees C). Lightly grease baking sheets.
Cream butter and sugar together until light. Beat in the vanilla. Mix in the flour, pecans and cocoa powder.
Form dough into 1 inch balls and place onto the prepared baking sheets. Bake in the preheated oven for 20 to 25 minutes. Cool, then roll each cookie in confectioners' sugar.",4.40000009536743,26,142 ,24 servings (4 dozen),10.4,11.7,1.5,20,55
Easy Lemon Cookies,http://allrecipes.com/recipe/10776/easy-lemon-cookies/,"""The basic cake mix cookie with a twist.""",Lissa
Tina's Shortbread Chocolate Chip Cookies,http://allrecipes.com/recipe/15300/tinas-shortbread-chocolate-chip-cookies/,"""This cookie is incredible.  It's so rich and tasty.  I cannot tell how many times I get asked for this recipe.  Everyone loves it and it's easy to make.  These keep very well.  You can make dough ahead time and freeze it.  Defrost when ready to use and follow baking instructions.  Great cookie for the holidays.""",Tina Andre' Fox
Original Nestle® Toll House Chocolate Chip Cookies,http://allrecipes.com/recipe/174864/original-nestle-toll-house-chocolate-chip-cookies/,"""This famous classic American cookie is a treat no matter what the age or occasion. Enjoy it with a glass of cold milk.""",Nestle Toll House,15 m,9 m,39 m,,"Preheat oven to 375 degrees F.
Combine flour, baking soda and salt in small bowl. Beat butter, granulated sugar, brown sugar and vanilla extract in large mixer bowl until creamy. Add eggs, one at a time, beating well after each addition. Gradually beat in flour mixture. Stir in morsels and nuts. Drop by rounded tablespoon onto ungreased baking sheets.
Bake for 9 to 11 minutes or until golden brown. Cool on baking sheets for 2 minutes; remove to wire racks to cool completely.",4.58506202697754,192,108 ,60 servings,6.2,12.7,1.4,14,85
Peanut Butter Cup Cookies,http://allrecipes.com/recipe/9471/peanut-butter-cup-cookies/,"""These cookies have a sweet peanut butter cup center.""",BUCHKO,25 m,10 m,1 h 35 m,,"Preheat oven to 375 degrees F (190 degrees C). Sift together the flour, salt and baking soda; set aside.
Cream together the butter, sugar, peanut butter and brown sugar until fluffy. Beat in the egg, vanilla and milk. Add the flour mixture; mix well. Shape into 40 balls and place each into an ungreased mini muffin pan.
Bake at 375 degrees for about 8 minutes. Remove from oven and immediately press a mini peanut butter cup into each ball. Cool and carefully remove from pan.",4.79559993743896,3063,122 ,40 servings (40 cookies),6.5,14.4,2.4,11,119
Cranberry Hootycreeks,http://allrecipes.com/recipe/15262/cranberry-hootycreeks/,"""A beautifully festive cookie in a jar recipe. These make great gifts.""",Susan O'Dell,25 m
Royal Icing II,http://allrecipes.com/recipe/10198/royal-icing-ii/,"""This recipe is  the 'glue' that holds gingerbread houses together, and makes it still edible.""",Kristen Pontier,15 m
Melt - In - Your - Mouth Shortbread,http://allrecipes.com/recipe/10856/melt-in-your-mouth-shortbread/,"""This quick and easy shortbread will literally melt when you take a bite. Great for Christmas parties with a little bit of decorating.""",Jennifer Wilton,10 m,15 m,25 m,,"Preheat the oven to 375 degrees F (190 degrees C).
Whip butter with an electric mixer until fluffy.  Stir in the confectioners' sugar, cornstarch, and flour. Beat on low for one minute, then on high for 3 to 4 minutes. Drop cookies by spoonfuls 2 inches apart on an ungreased cookie sheet.
Bake for 12 to 15  minutes in the preheated oven.  Watch that the edges don't brown too much. Cool on wire racks.",4.32386350631714,1127,111 ,24 servings (2 dozen),7.8,9.7,0.9,20,55
Soft Christmas Cookies,http://allrecipes.com/recipe/10110/soft-christmas-cookies/,"""Soft cut out sugar cookie that I have used for years. I sprinkle with colored sugar before baking or you could also try icing them when cool.""",Georgie Bowers,20 m,8 m,3 h,,"Sift flour, baking powder, and salt together, set aside.  In a large bowl, cream together the margarine and sugar until light and fluffy. Beat in the eggs one at a time, then stir in the vanilla. Gradually blend in the sifted ingredients until fully absorbed. Cover dough, and chill for 2 hours.
Preheat oven to 400 degrees F (200 degrees C). Grease cookie sheets. On a clean floured surface, roll out small portions of chilled dough to 1/4 inch thickness. Cut out shapes using cookie cutters.
Bake 6 to 8 minutes in the preheated oven, or until edges are barely brown. Remove from cookie sheets to cool on wire racks.",4.44730854034424,1031,97 ,48 servings (4 dozen),4,13.8,1.3,8,81
Easy Sugar Cookies,http://allrecipes.com/recipe/9870/easy-sugar-cookies/,"""Quick and easy sugar cookies! They are really good, plain or with candies in them. My friend uses chocolate mints on top, and they're great!""",Stephanie,15 m,10 m,25 m,,"Preheat oven to 375 degrees F (190 degrees C). In a small bowl, stir together flour, baking soda, and baking powder. Set aside.
In a large bowl, cream together the butter and sugar until smooth. Beat in egg and vanilla. Gradually blend in the dry ingredients. Roll rounded teaspoonfuls of dough into balls, and place onto ungreased cookie sheets.
Bake 8 to 10 minutes in the preheated oven, or until golden. Let stand on cookie sheet two minutes before removing to cool on wire racks.",4.46478176116943,5073,86 ,48 servings (4 dozen),4,11.7,0.9,14,60
Brooke's Best Bombshell Brownies,http://allrecipes.com/recipe/143667/brookes-best-bombshell-brownies/,"""These brownies are the bomb! I've found the perfect combination of ingredients to make the fudgiest brownies yet... Enjoy!""",BROOKE,15 m,35 m,50 m,,"Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13 baking dish.
Combine the melted butter, sugar, and vanilla in a large bowl. Beat in the eggs, one at a time, mixing well after each, until thoroughly blended.
Sift the flour, cocoa powder, and salt in a bowl. Gradually stir flour mixture into the egg mixture until blended. Stir in the chocolate morsels. Spread the batter evenly into the prepared baking dish.
Bake in preheated oven until an inserted toothpick comes out clean, 35 to 40 minutes. Remove, and cool pan on wire rack before cutting.",4.61742496490479,3386,248 ,24 servings,11.2,37.5,2.9,51,165
Cracked Sugar Cookies I,http://allrecipes.com/recipe/9864/cracked-sugar-cookies-i/,"""This is a nice soft center sugar cookie.""",Pam
Biscotti,http://allrecipes.com/recipe/17241/biscotti/,"""This is a simple, no frills biscotti. My friend at work gave this recipe to me.  It's quick, easy and one of my favorite Italian cookie recipes.""",JANDEE,15 m,25 m,40 m,"6419, 6420","Preheat the oven to 375 degrees F (190 degrees C). Grease cookie sheets or line with parchment paper.
In a medium bowl, beat together the oil, eggs, sugar and anise flavoring until well blended. Combine the flour and baking powder, stir into the egg mixture to form a heavy dough. Divide dough into two pieces. Form each piece into a roll as long as your cookie sheet. Place roll onto the prepared cookie sheet, and press down to 1/2 inch thickness.
Bake for 25 to 30 minutes in the preheated oven, until golden brown. Remove from the baking sheet to cool on a wire rack. When The cookies are cool enough to handle, slice each one crosswise into 1/2 inch slices. Place the slices cut side up back onto the baking sheet. Bake for an additional 6 to 10 minutes on each side. Slices should be lightly toasted.",4.67225122451782,802,83 ,42 servings (3 to 4 dozen),3.1,12.3,1.4,13,40
Best Chocolate Chip Cookies,http://allrecipes.com/recipe/10813/best-chocolate-chip-cookies/,"""Crisp edges, chewy middles.""",Dora,20 m,10 m,1 h,,"Preheat oven to 350 degrees F (175 degrees C).
Cream together the butter, white sugar, and brown sugar until smooth. Beat in the eggs one at a time, then stir in the vanilla. Dissolve baking soda in hot water.  Add to batter along with salt. Stir in flour, chocolate chips, and nuts. Drop by large spoonfuls onto ungreased pans.
Bake for about 10 minutes in the preheated oven, or until edges are nicely browned.",4.60367202758789,9420,298 ,24 servings (4 dozen),15.6,38.8,3.6,36,166
Chef John's Almond Biscotti,http://allrecipes.com/recipe/260575/chef-johns-almond-biscotti/,"""My version is pretty straightforward--a classic Italian dipping cookie. But you can add hazelnuts, pistachios, and any type of dried fruit. Or dip them in dark chocolate.""",Chef John,15 m,1 h,2 h,"6421, 6422, 6423, 6424, 6425","Whisk flour, baking powder, and salt together in a mixing bowl.
Place butter, 1 cup plus 1 tablespoon sugar, olive oil in a separate mixing bowl.  Mix together thoroughly until mixture has a creamy texture. Add 1 egg; mix into butter/sugar mixture. Whisk in 2nd egg, vanilla extract, and almond extract; whisk until smooth. Add flour mixture. Mix until flour is incorporated. Add whole almonds and chopped almonds; mix in evenly. Cover bowl with plastic wrap; refrigerate 30 minutes.
Preheat oven to 350 degrees F (175 degrees C). Line a rimmed baking sheet with a silicone mat.
Divide dough in half. Place each half on a length of plastic wrap and shape into a log. Wrap with the plastic wrap and press into a shape about 3 or 4 inches wide and about 1/2 inch high. Transfer both pieces to prepared baking sheet leaving about 3 or 4 inches of space between them to allow for spreading.
Bake in center of preheated oven until turning golden and a toothpick inserted into the center comes out clean, about 30 minutes. Let cool 15 minutes before slicing.
Reduce oven temperature to 325 degrees F (165 degrees C).
Cut each piece at a slight angle into 1/2- to 1 -inch thick slices with a serrated knife. Transfer pieces back to baking sheet in a single layer. Bake 12 minutes; remove from oven and flip pieces over. Return pan to oven and bake until biscotti are golden brown and crunchy, about 20 minutes.
Transfer biscotti to a cooling rack; let cool to room temperature.",4.61538457870483,10,200 ,15 servings (30 biscotti),8,28.6,4.3,31,81
Raspberry and Almond Shortbread Thumbprints,http://allrecipes.com/recipe/10222/raspberry-and-almond-shortbread-thumbprints/,"""Shortbread thumbprint cookie filled with raspberry jam, and drizzled with glaze.""",Dee,30 m,18 m,1 h 15 m,"6426, 6427","Preheat oven to 350 degrees F (175 degrees C).
In a medium bowl, cream together butter and white sugar until smooth. Mix in 1/2 teaspoon almond extract.  Mix in flour until dough comes together. Roll dough into 1 1/2 inch balls, and place on ungreased cookie sheets. Make a small hole in the center of each ball, using your thumb and finger, and fill the hole with preserves.
Bake for 14 to 18 minutes in preheated oven, or until lightly browned. Let cool 1 minute on the cookie sheet.
In a medium bowl, mix together the confectioners' sugar, 3/4 teaspoon almond extract, and milk until smooth. Drizzle lightly over warm cookies.",4.66776609420776,1895,104 ,36 servings (3 dozen),5.2,13.7,0.8,14,37
Classic Savory Deviled Eggs,http://allrecipes.com/recipe/228129/classic-savory-deviled-eggs/,"""Hard-cooked eggs are stuffed with a creamy blend of mayonnaise, Dijon mustard and rice wine vinegar. Fresh dill and garlic powder add a delightful flavor.""",Jeff Sikes,10 m
Roasted Rack of Lamb,http://allrecipes.com/recipe/45641/roasted-rack-of-lamb/,"""I have had this recipe for a long time, and always enjoy making it.  You can also do the same thing with beef or pork.""",JENNINE1980,20 m,20 m,40 m,"6428, 6429","Preheat oven to 450 degrees F (230 degrees C). Move oven rack to  the center position.
In a large bowl, combine bread crumbs, garlic, rosemary, 1 teaspoon salt and 1/4 teaspoon pepper. Toss in 2 tablespoons olive oil to moisten mixture. Set aside.
Season the rack all over with salt and pepper. Heat 2 tablespoons olive oil in a large heavy oven proof skillet over high heat. Sear rack of lamb for 1 to 2 minutes on all sides. Set aside for a few minutes. Brush rack of lamb with the mustard. Roll in the bread crumb mixture until evenly coated. Cover the ends of the bones with foil to prevent charring.
Arrange the rack bone side down in the skillet. Roast the lamb in preheated oven for 12 to 18 minutes, depending on the degree of doneness you want. With a meat thermometer, take a reading in the center of the meat after 10 to 12 minutes and remove the meat, or let it cook longer, to your taste. Let it rest for 5 to 7 minutes, loosely covered, before carving between the ribs.",4.82933855056763,771,481 ,4 servings (4 Servings),40.8,5.6,22.2,94,1369
Judy's Strawberry Pretzel Salad,http://allrecipes.com/recipe/16080/judys-strawberry-pretzel-salad/,"""This three-layer salad includes a pretzel crust, cream cheese center, and strawberry top.""",Tom Quinlin,15 m,10 m,2 h,,"Preheat oven to 350 degrees F (175 degrees C). Mix together the pretzels, 4 1/2 tablespoons sugar and melted butter. Press into the bottom of a 9x13 inch pan. Bake for 10 minutes, or until lightly toasted. Set aside to cool completely.
In a medium bowl, beat the sugar and cream cheese until smooth. Fold in whipped topping. Spread evenly over the cooled crust. Refrigerate until set, about 30 minutes.
In a medium bowl, stir together the gelatin mix and boiling water. Mix in frozen strawberries, and stir until thawed. Pour over cream cheese mixture in pan. Refrigerate until completely chilled, at least 1 hour.",4.73837566375732,1177,371 ,16 servings,22.3,41.2,4.2,54,327
Lemon-Parsley Green Beans,http://allrecipes.com/recipe/146100/lemon-parsley-green-beans/,"""This is a delicious lemony, fried green bean recipe. I found it while shopping one Saturday at the local produce market.""",Rachel C.,5 m,11 m,16 m,,"Bring a large pot of salted water to a boil over high heat: add sugar, and beans. Cook until beans are bright green and tender, 3 to 5 minutes. Drain, and place in a large bowl of ice water to stop cooking.
Combine the butter and olive oil in a large skillet over medium-high heat; cook until butter melts. Stir in the garlic; cook until pale beige and fragrant. Stir in the beans; cook until wilted, and garlic is dark brown, about 4 minutes. Toss beans with parsley and lemon zest, and cook 1 to 2 minutes more. Season to taste with salt and pepper. Transfer beans to a serving dish, and garnish with lemon wedges.",4.53246736526489,51,119 ,4 servings,8.4,12.5,2.7,15,51
Ooey-Gooey Cinnamon Buns,http://allrecipes.com/recipe/21461/ooey-gooey-cinnamon-buns/,"""These buns are sooo good hot from the oven when they're gooey and warm.""",dakota kelly,2 h 30 m,30 m,3 h,6430,"In a small bowl, dissolve  1 teaspoon sugar and yeast in warm water. Let stand until creamy, about 10 minutes. Warm the milk in a small saucepan until it bubbles, then remove from heat. Mix in 1/4 cup sugar, 1/4 cup butter and salt; stir until melted. Let cool until lukewarm.
In a large bowl, combine the yeast mixture, milk mixture, eggs and 1 1/2 cup flour; stir well to combine. Stir in the remaining flour, 1/2 cup at a time, beating well after each addition. When the dough has pulled together, turn it out onto a lightly floured surface and knead until smooth and elastic, about 8 minutes.
Lightly oil a large bowl, place the dough in the bowl and turn to coat with oil. Cover with a damp cloth and let rise in a warm place until doubled in volume, about 1 hour.
While dough is rising, melt 3/4 cup butter in a small saucepan over medium heat. Stir in 3/4 cup brown sugar, whisking until smooth. Pour into greased 9x13 inch baking pan. Sprinkle bottom of pan with 1/2 cup pecans; set aside. Melt remaining butter; set aside. Combine remaining 3/4 cup brown sugar, 1/2 cup pecans, and cinnamon; set aside.
Turn dough out onto a lightly floured surface, roll  into an 18x14 inch rectangle. Brush with 2 tablespoons melted butter, leaving 1/2 inch border uncovered; sprinkle with brown sugar cinnamon mixture. Starting at long side, tightly roll up, pinching seam to seal. Brush with remaining 2 tablespoons butter. With serrated knife, cut into 15 pieces; place cut side down, in prepared pan. Cover and let rise for 1 hour or until doubled in volume. Meanwhile, preheat oven to 375 degrees F (190 degrees C).
Bake in preheated oven for 25 to 30 minutes, until golden brown. Let cool in pan for 3 minutes, then invert onto serving platter. Scrape remaining filling from the pan onto the rolls.",4.67523813247681,833,392 ,15 servings,21.7,45.3,5.6,66,282
Chicken Breasts Pierre,http://allrecipes.com/recipe/16707/chicken-breasts-pierre/,"""One of my husband's favorites. I've been making this for over fifteen years, and he's not sick of it yet! Serve with pan sauces, crusty French bread and a tossed green salad.""",Nancy,30 m,40 m,1 h 10 m,,"In a shallow dish or bowl, combine flour, 1/2 teaspoon salt and ground black pepper. Coat chicken breasts with flour mixture. Melt butter in a large skillet over medium heat, and brown chicken on all sides. Remove from skillet, and drain on paper towels.
In the same skillet, combine the tomatoes, water, brown sugar, vinegar and Worcestershire sauce. Season with salt, chili powder, mustard, celery seed, garlic and hot pepper sauce. Bring to a boil; reduce heat, and return chicken to skillet. Cover, and simmer for 35 to 40 minutes, or until chicken is tender, no longer pink and juices run clear.",4.55615854263306,1785,247 ,6 servings,7.8,14.8,28.8,84,916
Red Skinned Potato Salad,http://allrecipes.com/recipe/25155/red-skinned-potato-salad/,"""This creamy salad is made with red potatoes, which give this dish--chock full of melt-in-your-mouth bacon, bits of hard boiled egg, crunchy celery and spicy onion--a delectable, firm texture.""",Donna,1 h
Pan Seared Salmon I,http://allrecipes.com/recipe/21736/pan-seared-salmon-i/,"""Simply seasoned with salt and pepper, these salmon fillets are pan seared with capers, and garnished with slices of lemon.""",Noreen421,10 m,10 m,20 m,"6431, 6432","Preheat a large heavy skillet over medium heat for 3 minutes.
Coat salmon with olive oil. Place in skillet, and increase heat to high. Cook for 3 minutes. Sprinkle with capers, and salt and pepper. Turn salmon over, and cook for 5 minutes, or until browned. Salmon is done when it flakes easily with a fork.
Transfer salmon to individual plates, and garnish with lemon slices.",4.59523820877075,126,371 ,4 servings,25.1,1.7,33.7,99,300
Spinach Quiche,http://allrecipes.com/recipe/16664/spinach-quiche/,"""Let me start by saying that I devised this recipe myself, and I just sort of add 'this and that.' This recipe is VERY forgiving, so you can add or remove ingredients according to your taste!""",Bailey,20 m,40 m,1 h,,"Preheat oven to 375 degrees F (190 degrees C).
In a medium skillet, melt butter over medium heat. Saute garlic and onion in butter until lightly browned, about 7 minutes. Stir in spinach, mushrooms, feta and 1/2  cup Cheddar cheese. Season with salt and pepper. Spoon mixture into pie crust.
In a medium bowl, whisk together eggs and milk. Season with salt and pepper. Pour into the pastry shell, allowing egg mixture to thoroughly combine with spinach mixture.
Bake in preheated oven for 15 minutes. Sprinkle top with remaining Cheddar cheese, and bake an additional 35 to 40 minutes, until set in center. Allow to stand 10 minutes before serving.",4.70016765594482,1770,613 ,6 servings (1 - 9 inch quiche),48.2,23.9,22.9,232,1155
Hash Brown and Egg Casserole,http://allrecipes.com/recipe/87013/hash-brown-and-egg-casserole/,"""This is my family's recipe that has been handed down through the years.  We've always used the maple flavored pork sausage but any kind is good.  This casserole is a nice and cozy breakfast or brunch meal that everyone will enjoy.  It's got the perfect taste with lots of cheese. Yum! Be sure to use a baking dish that is deep enough to cover with aluminum foil.""",MELISSAKOVACS07,15 m,1 h 20 m,1 h 40 m,"6433, 6434, 6435","Preheat oven to 350 degrees F (175 degrees C). Grease a 2 quart baking dish. Place the hash brown potatoes in the bottom of the baking dish.
Heat a skillet over medium heat and cook and stir the sausage and onion until the sausage is crumbly, evenly browned, and no longer pink; drain. Meanwhile, whisk together the eggs, milk, onion powder, garlic powder, salt, and pepper, and pour over the potatoes. Layer with half the Cheddar cheese, the sausage mixture, and the remaining Cheddar cheese. Cover with aluminum foil.
Bake in the preheated oven for 1 hour. Remove cover; return casserole to the oven and bake until a knife inserted into the center comes out clean, about 10 minutes. Let stand for 5 minutes before serving.",4.3869800567627,439,616 ,6 servings (1  - 8x8 inch casserole),48.9,30.4,33.5,259,1142
Grandma's Green Bean Casserole,http://allrecipes.com/recipe/13717/grandmas-green-bean-casserole/,"""This recipe is much better than the standard mushroom soup and French fried onion version.""",Amy Barry,15 m,40 m,55 m,,"Preheat oven to 350 degrees F (175 degrees C).
Melt 2 tablespoons butter in a large skillet over medium heat. Stir in flour until smooth, and cook for one minute. Stir in the salt, sugar, onion, and sour cream. Add green beans, and stir to coat.
Transfer the mixture to a 2 1/2 quart casserole dish. Spread shredded cheese over the top. In a small bowl, toss together cracker crumbs and remaining butter, and sprinkle over the cheese.
Bake for 30 minutes in the preheated oven, or until the top is golden and cheese is bubbly.",4.49912548065186,2100,215 ,10 servings,16.4,9.5,7.8,45,832
Beef Stroganoff III,http://allrecipes.com/recipe/25202/beef-stroganoff-iii/,"""I have been making this recipe for over 20 years. This can be served over either rice or noodles. A little work but worth the effort.""",Donna,30 m,1 h,1 h 40 m,"6436, 6437, 6438, 6439, 6440","Remove any fat and gristle from the roast and cut into strips 1/2 inch thick by 2 inches long. Season with 1/2 teaspoon of both salt and pepper.
In a large skillet over medium heat, melt the butter and brown the beef strips quickly, then push the beef strips off to one side. Add the onions and cook slowly for 3 to 5 minutes, then push to the side with the beef strips.
Stir the flour into the juices on the empty side of the pan. Pour in beef broth and bring to a boil, stirring constantly. Lower the heat and stir in mustard. Cover and simmer for 1 hour or until the meat is tender.
Five minutes before serving, stir in the mushrooms, sour cream, and white wine. Heat briefly then salt and pepper to taste.",4.58031892776489,1850,304 ,8 servings (6 to 8 servings),23,5.7,16.6,83,619
Sweet Dinner Rolls,http://allrecipes.com/recipe/17690/sweet-dinner-rolls/,"""This dough makes wonderful dinner rolls but can also be used to make cinnamon rolls. Mixing it in your bread machine but bake the rolls in the oven. They're light, soft and sweet.""",Donna West,20 m,20 m,2 h 20 m,,"Place water, milk, egg, 1/3 cup butter, sugar, salt, flour and yeast in the pan of the bread machine in the order recommended by the manufacturer. Select Dough/Knead and First Rise Cycle; press Start.
When cycle finishes, turn dough out onto a lightly floured surface. Divide dough in half. Roll each half into a 12 inch circle, spread 1/4 cup softened butter over entire round. Cut each circle into 8 wedges. Roll wedges starting at wide end; roll gently but tightly. Place point side down on ungreased cookie sheet. Cover with clean kitchen towel and put in a warm place, let rise 1 hour. Meanwhile, preheat oven to 400 degrees F (200 degrees C).
Bake in preheated oven for 10 to 15 minutes, until golden.",4.79693222045898,2362,192 ,16 servings (16 rolls),7.5,27.1,3.9,30,202
Peanut Butter Bars I,http://allrecipes.com/recipe/9999/peanut-butter-bars-i/,"""These peanut butter bars taste just like peanut butter cups.""",Nancy,25 m
Sam's Famous Carrot Cake,http://allrecipes.com/recipe/8270/sams-famous-carrot-cake/,"""My Grandfather (Sam) was famous for this cake. Everyone who knew him, knows of his famous carrot cake.  He would always have some available for anyone who wanted it. We'll miss him, but his carrot cake legacy will always live on! Enjoy!""",Brian D'Amico,20 m,1 h,1 h 40 m,,"Preheat oven to 350 degrees F (175 degrees C). Grease and flour an 8x12 inch pan.
In a medium bowl, sift together flour, baking soda, salt and cinnamon. Set aside.
In a large bowl, combine eggs, buttermilk, oil, sugar and vanilla. Mix well. Add flour mixture and mix well.
In a medium bowl, combine shredded carrots, coconut, walnuts, pineapple and raisins.
Using a large wooden spoon or a very heavy whisk, add carrot mixture to batter and fold in well.
Pour into prepared 8x12 inch pan, and bake at 350 degrees F (175 degrees C) for 1 hour. Check with toothpick.
Allow to cool for at least 20 minutes before serving.",4.77765369415283,2100,374 ,15 servings (1 - 8x12 inch pan),18.8,48.7,5.2,38,259
Hot Cross Buns I,http://allrecipes.com/recipe/7073/hot-cross-buns-i/,"""Hot cross buns! Hot cross buns!""",LITSTER5,20 m,20 m,3 h,"6441, 6442, 6443, 6444, 6445","Put warm water, butter, skim milk powder, 1/4 cup sugar, salt, egg, egg white, flour, and yeast in bread maker and start on dough program.
When 5 minutes of kneading are left, add currants and cinnamon. Leave in machine till double.
Punch down on floured surface, cover, and let rest 10 minutes.
Shape into 12 balls and place in a greased 9 x 12 inch pan. Cover and let rise in a warm place till double, about 35-40 minutes.
Mix egg yolk and 2 tablespoons water. Brush on balls.
Bake at 375 degrees F (190 degrees C) for 20 minutes. Remove from pan immediately and cool on wire rack.
To make crosses: mix together confectioners' sugar, vanilla, and milk. Place glaze in a piping bag or a sandwich bag with the corner snipped off; pipe a cross onto each roll.",4.44444465637207,190,217 ,12 servings (12 buns),4.1,40.5,5.2,40,109
Oven-Roasted Asparagus,http://allrecipes.com/recipe/214931/oven-roasted-asparagus/,"""Salty and savory, the roasting method kills the natural bitterness of asparagus.  Try it next to grilled fish or lamb.""",swedishmilk,10 m,15 m,25 m,,"Preheat an oven to 425 degrees F (220 degrees C).
Place the asparagus into a mixing bowl, and drizzle with the olive oil. Toss to coat the spears, then sprinkle with Parmesan cheese, garlic, salt, and pepper. Arrange the asparagus onto a baking sheet in a single layer.
Bake in the preheated oven until just tender, 12 to 15 minutes depending on thickness. Sprinkle with lemon juice just before serving.",4.77196550369263,1278,123 ,4 servings,10.8,5.2,3.3,2,471
Pecan Sour Cream Coffee Cake,http://allrecipes.com/recipe/246868/pecan-sour-cream-coffee-cake/,"""For me, the best part about coffee cake is the crispy, crunchy, buttery crumbs. So here I significantly upped the amounts used. Bake times will vary according to pan size and composition.""",Chef John,25 m,30 m,55 m,,"Preheat oven to 350 degrees F (175 degrees C). Butter an 8-inch by 10-inch baking dish.
Mix pecans, 1/3 cup white sugar, brown sugar, cinnamon, salt, and melted butter thoroughly in a mixing bowl until all components are coated with butter, 3 to 4 minutes.
In a separate bowl, whisk together flour, salt, baking powder, and baking soda.
In another bowl, mix together butter and 1 cup sugar with a spatula until well blended. Add 1 egg and whisk until mixture is smooth, 2 to 3 minutes. Whisk in second egg until thoroughly incorporated. Add vanilla and sour cream; whisk together. Add flour mixture to wet ingredients; whisk until flour disappears (do not over mix).
Spread one half of the batter evenly into the bottom of the prepared baking dish. Scatter one half of the crumb mixture evenly over the top of the batter. Top with the rest of the batter and spread carefully to evenly distribute, trying not to disturb the crumbs. Top with the rest of the crumb mixture. Very gently press crumbs into batter. Bake in preheated oven until a bamboo skewer comes out clean, 30 to 35 minutes. Let cool slightly before serving.",4.75423717498779,97,634 ,8 servings,38.1,69.3,7.6,101,474
Lemon Pie Bars,http://allrecipes.com/recipe/11458/lemon-pie-bars/,"""This is a really easy recipe  that my mom made before the lemon bar 'rage' was on! Thick-skinned lemons work the best. I suggest using real butter and eggs, I've tried using eggbeaters--nowhere near as good!""",RCFoodie
Mom's Scalloped Potatoes,http://allrecipes.com/recipe/240290/moms-scalloped-potatoes/,"""This is the way my mother always made her scalloped potatoes. The measurements are taken from other recipes because she always just winged it, but the method is the same. The key is to heat the milk first!""",janebp,30 m,45 m,1 h 15 m,,"Preheat oven to 375 degrees F (190 degrees C). Grease a 9x13-inch baking dish.
Spread about 1/3 of the potato slices into the bottom of the prepared baking dish. Top with about 1/3 of the onion slices. Sprinkle 3 tablespoons flour over the potato and onion. Arrange 2 tablespoons butter atop the flour. Season the entire layer with salt and pepper. Repeat layering twice more.
Heat milk in a saucepan until warm. Pour enough warm milk over the mixture in the baking dish so the top of the liquid is level with the final layer of potatoes.
Bake in preheated oven until potatoes are tender, 45 to 60 minutes.",4.5490198135376,207,396 ,6 servings,15.8,55,9.9,43,171
Macaron (French Macaroon),http://allrecipes.com/recipe/223234/macaron-french-macaroon/,"""This is the quintessential macaron (NOT macaroon) recipe. I am a baker's apprentice, and after much trial and error, we (the baker and I) finally perfected the technique. We decided to share with you all. Pipe your choice of filling on a cookie and sandwich another cookie on top. These are like cloud cookie sandwiches and are delicious if done correctly.  If you want to do it the super-easy way, just fill with your favorite flavor of frosting. Enjoy!""",Elle,30 m,10 m,2 h 10 m,,"Line a baking sheet with a silicone baking mat.
Beat egg whites in the bowl of a stand mixer fitted with a whisk attachment until whites are foamy; beat in white sugar and continue beating until egg whites are glossy, fluffy, and hold soft peaks. Sift confectioners' sugar and ground almonds in a separate bowl and quickly fold the almond mixture into the egg whites, about 30 strokes.
Spoon a small amount of batter into a plastic bag with a small corner cut off and pipe a test disk of batter, about 1 1/2 inches in diameter, onto prepared baking sheet. If the disk of batter holds a peak instead of flattening immediately, gently fold the batter a few more times and retest.
When batter is mixed enough to flatten immediately into an even disk, spoon into a pastry bag fitted with a plain round tip. Pipe the batter onto the baking sheet in rounds, leaving space between the disks. Let the piped cookies stand out at room temperature until they form a hard skin on top, about 1 hour.
Preheat oven to 285 degrees F (140 degrees C).
Bake cookies until set but not browned, about 10 minutes; let cookies cool completely before filling.",4.11788606643677,212,189 ,8 servings (16 macarons),2.6,36.4,6.9,0,22
Coconut Macaroons III,http://allrecipes.com/recipe/25787/coconut-macaroons-iii/,"""This recipe has won many 1st place ribbons at my state fair. They are very simple to make.""",Kristil Kimbro Lyle,10 m
